serial,text,sentiment
0,"1 loved the 1st film and I've just come out of the cinema watching the 2nd film. I am
heartbroken and sad because the story has so many plot conveniences and doesn't really

go anywhere. There isn't really anything at stake, the plot was written by a beginner and
has no depth.
",negative
1,"Compare this to, say, Harry Potter 2. The story was multilayered and compelling. The
characters were lovable and emotionally engaging. The visuals were artistically beautiful
and infused with meaning
",positive
2,"Given the success of the original Avatar, writing an excellent script (even if it meant
hiring others) should have been priority number 1. All this talk about pushing the limits of
CGI and camera technology, underwater filming etc... Totally worthless if the story and
characters are bland.
",positive
3,"Avatar 2 is so inferior to Avatar 1, I could not stress that enough. It is missing so many
elements that made the first movie, with an absolutely empty pointless story that seems
to be mish-mashed into the visuals. Avatar 2 has none of the mystic feeling energy that
the first one had. And after a 13 year wait, I just felt so disappointed with the movie, not
reaching any expectations whatsoever.
",negative
4,"This is not really a film. It has no shape, no thematic magic. There's no intellectual or
emotional structure to connect to. It's just a series of visually vibrant scenes.
",positive
5,"Avatar 2 is a big, meaningless, dumb, blue blur. I kept the faith for James Cameron for all
these years, but he didn't even bother to nail the most important aspect of a film: the
SCRIPT!
",positive
6,"There's barely a story. The characters are one dimensional and the dialogue is bland. The
main character is as interesting as a coat hanger. The visuals, while technically
impressive, are limited in their substance and highly repetitive.
",positive
7,"This sequel has a poor script, the main characters are not developed at all - single
dimensional, uninteresting. The special effects never improved. Nothing new was brought
to the table. This is purely a modern Hollywood cash grab with a story that doesn't even
meet the standard of 2023 Hollywood mediocrity.

Here is a perfect example why people are reluctant to invest $60 for a couple or $100+
to take the family to a movie, Imagine, dumping an afternoon and a bunch of money on
this and greasy popcorn
",negative
8,"At the very best I would rate this 5, just for the visuals, and even that includes some bad
CGI on a couple of occasions which I thought was really bad coming from James
Cameron. The boat crashing scene just looks like something from a 90s computer game.
",negative
9,"Surprisingly Bad - Even For A Sequel.

The first Avatar was groundbreaking and the script was well written. I, Avatar 1, time
was taken to develop the characters. They had depth and we invested ourselves in them.
",negative
10,"Absolutely awful film, soo boring. All 4 of us wanted to leave before end, it was basically
exactly the same story as first one only much much slower. Really awful sequel cant think
of a worse one. Why is it 192minutes? If they cut out half that it would still be boring,
like its unbelievably slow and tedious, the characters are all unlikeable, I can't get over
how bad much of the dialogue was in this movie, but especially the dialogue among the
teens. The overuse of the words ‘bro! and ‘cuz’ was awful and embarrassing, The Na'vi
bullies were also way too cliched. The villain is rehashed from first one, only you guessed

it worse. How it gets 7.7 is beyond me. Trust me if you enjoyed first one skip this its
garbage.
",negative
11,"Cameron's jumped the shark along with Lucas. This is Camerons Phantom Menace.

Please end the madness of worshipping these over rated story tellers. No one will pop the
inflated egos of these giant legendary directors so we keep getting this drivel. This movie
sucked Period. Slow and uninspiring on all levels. A 5 because i like the color blue and I
had a good nap. Probably should be a 3. One more to come too, OMG How much money
has to be wasted, Please for the luv of all things decent and good tell this man to move
on and tell a story we will remember. I don't care how revolutionary the movie technically
is if i fall asleep. Avoid it you won't regret it.
",negative
12,"It is literally the same story but in water... why bother? Visually, it looks like a very good
and a very very long computer game intro... Story-vise extremely dull, predictable and
sorry to say but boring... Cameron knows how to press the emotion buttons and that's
it... they should make a Disney+ series out of it and not a 3 hours long movie...
obviously people don't want complicated stories or good dialogue cause that movie
doesn't offer it and still made almost 2 billion... What a world we live in... I would say I
am disappointed but I didn't expect much to begin with... First movie was already very
dull and boring story-vise but at least it was visually first of its kind and it was worth
watching but the second one doesn't even have that pioneer effect it is just milking the
cash cow instead of telling a good story.
",positive
13,"On a more positive note, once this comes out on DVD, I'd definitely recommend playing it
in the background of a house party. Just drink every time one of the kids say ""bro"", and
you're gonna have a lot of fun (before passing out drunk by the time the movie is over !)

You're welcome <3
",positive
14,"T'll keep this short, don't go see this in the theaters. The plot is even worse than the first
one, and so much of this movie could have been cut out. Yeah the visuals were great as
the first but that's the only thing carrying this movie. Unbelievable for how long it took
for this movie to come out that the plot is this this thin and weak. It's totally predictable
the same as the first one. The dialogue is very cringy as well, using awful, trendy, buzz
phrases, and words. ""I got this!!"" ""Samel!"" Etc etc Cameron's talents could've been put
through so much better use. I'm amazed they are making several more of these...
",positive
15,"Unpopular opinion, but this was easily the worst James Cameron movie in recent memory
for me A pretty animation and a visual spectacle for sure, but unbelievably bloated and
littered with questionable choices... To enjoy this movie would require that one throws all
logic out the window, and despite such a long runtime, a coherent plot and character
development are still virtually nonexistent.
",positive
16,"As a huge fan of Avatar 1 which literally revolutionized 3D viewing I'm utterly
disappointed with the soulless, plotless visual sensation.. Hoped Cameron wouldn't mess
it up a sequel of a masterpiece. After all he is human.. Avatar 3 must be a kickass else
this franchise will be buried in time.. With the expectations and precedence set by 1st
and bottomless pit shown lack of imagination in 2nd part definitely you got your work cut
out..Come on James let your testosterone driven wild creativity do it's magic once again
like good old days when you had it in you.. Don't torture audience with this imbecile
graphical experiment!
",positive
17,"I thoroughly enjoyed the original Avatar and whilst the special effects and graphics of the
sequel were stunning that's the only reason I gave it 2 stars.

The storyline is weak with many unbelievable elements, the script is full of very strong
American family and military influences which are cringe making in the extreme and its
too long (3 hours too long in my opiniont!)

We would have left early if we hadn't been with friends but turned out they felt the same
and the general murmur of those round about us as we left was that it was rubbish
",positive
18,"The story really was all nonsense and a complete bore from the first one. They couldn't
come up with any original characters and the theme of the same group of humans
coming to steal their land and resources again magically inserted into avatar bodies.
Come on! But to make it worse let's just hunt 1 person/family to help accomplish this is
ridiculous. We couldn't get out of the theatre fast enough from the boredom of the lack of
story line. If I hear the word bro or brah one more time it will be to soon. The 3hrs felt

like 5. Please do not waist your money or time and I'm only typing now as it won't let me
leave a review without 800 characters.
",negative
