serial,text,sentiment
0,"| have already read the seven books of HP like 4 times and | decided to do my English 10 honors assignment on HP because | love HP. | didn't own any books and | don't have a
library and even though | checked out a book, | can't make notes on it for annotations. $O | decided buy it and when it got here, can | just say AMAZING. There were no dents,
marks, ripped pages, or anything like that. It really looks like I just bought it from a bookstore. It feels, looks, and even SMELLS like a brand new book that was not used. | love it!
",positive
1,"This is a story of a young boy who is left to live with his undesirous extended family after his father and mother die when he is one year old. His upbringing is not a pleasant one
but does not affect Harry Potter negatively. When Harry is older he is whisked away to a school that will teach him wizardry and help him connect to his past. While at school

Harry learns skills that help him fight an evil that is forever present. This book was full of adventure, mystery, and entertainment that pulls the reader into the story.
I rated this book 5/5 stars and highly recommend it.
",positive
2,"I rarely write reviews, but the experience | had pushed me to do so! | ordered this book because it came with the 2-day shipping. The book was classified as ""Like New” but it had
tom pages, the cover was really wom. This book should have been labeled as acceptable! | was extremely disappointed!!!

 
",positive
3,"The story is well loved and I was excited to buy this and present it to my neighbors daughter.

| could not believe how cheap this book is made. The pages are onion skin thin and will tear very quickly. The paper has a dull grey recycled look. There is no artwork. The cover

is poor quality. The entire book is about the size of 2 Reader's Digests put together. | was expecting the large edition books that everyone had when the book first came out. |
was honestly embarrassed to give this as a gift.
",positive
4,"there is better reading material out there to ""influence"" my grandson's mind!
",positive
5,"I can't wait to give this book to my grandson for Christrnas. He is six years old and his class is all about Harry Potter EVERYTHING right now. He has seen the first movie and will
love reading this with his mom. Unfortunately, they live on the other side of the country... | wish I could be the one reading with him.
",positive
6,"I've been wanting to purchase the Harry Potter books for awhile but | didn't want to pay a fortune! Found them on Amazon for super cheap. Some people are concerned that
since they are paperback they won't last, but as long as you're not throwing the books around and taking care of them they hold up very well! Purchased this book once, and
then bought it again for my little brother when he wanted to start reading the series!
",positive
7,"I'm late to the Harry Potter party, but I guess it's better late than never. | bought a used copy to read to my kids at bedtime, and we all loved it. The writing is sharp and funny,
and had us laughing out loud. Harry Potter's wizard world was so beautifully described, it seemed more real than our own lives, at times. | can see why this was such a big deal
when it came out almost 20 years ago — it's a great book, especially for the middle grade set. Glad we finally got on board the Hogwarts Express!
",positive
8,"Shouldn't even call this literature. Sorry | needed it for my class.Can't believe there's more like this. | won't buy another one.
",positive
9,"bought as a gift for my nephew who had been begging me for my harry potter books. | am not giving that kid MY harry Potter books, I mean I love him, but | love my Harry
Potter too, | didn’t even let my daughter read MY Harry Potter books... She’s rough on books, she got her own set. SO yeah, great story. I'm expecting my owl any day now with
my letter saying | have been accepted into hogwarts and | can leave the dreary world of muggles behind.
",positive
10,"| am not sure how the condition of the book was described, but I was a little to surprised to see that the book was bent and a little crumpled at the bottom. Not a huge deal, and
it must be stated that I got the book for next to nothing, which was great.

| also chose the cheapest shipping option but was a little surprised that book did not arrive for over two weeks and then some.

Anyway we got it now and for cheap. | am hoping my 10-year old grand son will get lost in the book. He loves the movies!
",positive
11,"Excellent. Beyond excellent. | put off reading Harry Potter books for years. Then I watched the films and I was captivated. | just finished this book last evening, and | must say
that the book is even better than the movie! That's saying something! | am looking forward to reading the rest of the series. | can't recommend this book enough!
",positive
12,"Book not in good condition, smells and pages yellowish. | will have to purchase again.
",negative
13,"Bought my first copy of this when my 14 year old was only an infant, and as | have no idea where it is now, bought this one for my 9 year old who devoured it in days. Harry
Potter and the Sorcerer's Stone is the first book in the amazing series by JK Rowling chronicling the adventures and story of young Harry, a wizard brought up in the non-
wizarding Muggle world. He is learning of his past and being warned about enemies that he didn't even know existed in this book, also making friends that will stay with him

and help him through the years to come.
",positive
14,"Who doesn’t love this series? My son just recently got into it so | had to order him this book. It came in perfect condition!
",positive
15,"It came damaged but other than that would have been a nice product
",positive
16,"| don’t like when my son uses the word <hate>. But it was my first thought when | unpacked the book. It was in a truly ugly condition, the cover was torn in many places, the pen
writings were on the side of the book, in the book, on the spine of it, yes, all over the book. It looked so worn and dirty that my son refused to read it. The book itself is a
masterpiece, People, don't sell the garbage! Think of the little kids who are about to open an amazing world of literature, don't make them hate reading selling books in such an

awful condition!
",positive
17," 

I was hesitant to try it out because, the summary isn't interesting. The only good thing that happens to Harry is attending Hogwarts. What made me read it was | read
something that she spent 17 years designing the world. (While | found that cool at first-don't get me wrong; it's still is-that's probably because the novel got rejected about 12
times.) Until the fourth or fifth chapter, the Dursleys sucked the fun out of reading it. Later on, the main protagonist made it unpleasant to read. | was going to give this two
stars until | read part of the biography. | usually wouldn't care ,but J.K. Rowling said “the idea fell into her head”. I'm not against getting inspiration from other authors, but she's
essentially trying to pretend The Worst Witch doesn't exist. (Not only has the book series been around since the 70s, but once this came out, that got pushed under the rug.)
The only two characters | really like are Scabbers and Snape. Scabbers got thrown up against a train window, but he just went back to sleep. | like Snape because, he didn't feel
as though he had to be nice to Harry just because Voldemort didn't kill him. (Then again, that was due to his father so | doubt my own argument a little bit.) 'm glad they just
agreed to say Voldemort towards the end. It got annoying and repetitive to read You-Know-Who.
",negative
18,"We are reading this book together as a family during this pandemic and then we plan to watch the movie at the end of it all. So far, we are 3 chapters in and everyone has
enjoyed sitting around discussing the characters, themes and what we think is going te happen next!
",positive
19,"This book is my favorite of all the series. It was such an escape from reality years ago when my mom bought it for me. Having Type 1 diabetes, | felt different, as no family
member has every had it in history. It helped me not feel alone, and that something so heartbreaking makes you stronger. | realized that though | felt alone, having people
accept you and love you, depletes it. JK Rowling is inspiring, and just wow. She's helped a lot of people love to read and help depressed human beings.
",positive
20,"Very good quality is a far stretch for what this book actually was. | opened it and the first page literally fell to floor. | would have rather paid the extra $3 and got this book new.
What a waste.
",negative
21,"Best book ever!!! | am ten years old and my mom read all these books to me. | have loved them since the moment my mom started to read them to me. Now I read them on my
own and I still Love them. I just love all the characters like Harry, Hermione, Ron,Hagrid,and Dumbledore. | even love the bad characters such as Snape,Dudley,and Mrs.and
MrDursley. | just love all the magic and spells it is just so awesome. | recommend this book for all ages from 8 and up. (Moms you can and really should read this book to your 5

year olds and six year olds.)
",positive
22,"I know these were supposed to be childrens books, but what can | say? This book reminded me a bit of ""The Chronicals of Narnia” in that they begin in a Dreary grey repressive
British household and then gradually move into an enchanting world full of excitement, fun and even danger! Poor Harry Potter, trapped with his relatives, the Durdsleys who
make him sleep under the stiars while their own son has two bedrooms. Then one day he starts receiving letters which they do not allow him to read, However everytime they
throw them out the next day more an more keep appearing, under the door, down the chimmney, through the window. Harry finally discovers that he has been admitted to the
Hogwarts school of Wizardry, where his long dead parents first met. All this is unknown to him and begins one of the most fun stories of the year!
",negative
23,"My son LOVES Harry Potter books & movies. The books have so much more detail than the movies, that for such a great price | couldn't pass this deal up. My son is now wanting
ALL of the Harry Potter books.

This is a great book to get those kids who aren't that interested in reading, REALLY interested. The son who | purchased this book for almost NEVER likes to read, but this is one
book he LOVES to read.

As an aside, reading Harrp Potter, or Fantasy books will not give your son or daughter “demon issues"". If books with Wizards and magicians did that | and all of my friends who
read ""The Lion the Witch and the Wardrobe"" would have ""demon issues"" as well. LOL!
",positive
24,"I'm wondering when | actually purchased this book? My son just finished his book September 19, 2017. He is in the fourth grade now. The teacher said it is a lovely book, but she
does not recommend him reading it anymore. She said it is a level Z book and my son is on level R as of 3rd grade. He is now on the second book chamber of secrets. We are a
Harry Potter fans here.
",negative
25,"Since she was born, | have wanted to be able to bring my granddaughter into the world of Harry Potter. There was a niggling fear that, with the passage of the years and all the
hype, my little 9-year-old would not be as enthusiastic as her grandparents, aunt and uncle. But when she read it in less than 24 hours, | knew we had a new generation joining
the Wizarding World.
",negative
26,"i bought Harry potter, and about 30 pages in the middle of the book is binding poorly. even some sentences are missing.
",negative
27,"My purchase of this novel was somewhat impromptu even though | had seen parts of the film. Overall it had a simplistic plot but an entertaining one nontheless. The characters
were somewhat simple, but relatable in a way. Near the end of it | was compelled to finish it even though | didn't feel this enticed when I began.
",positive
28,"| love this series and brought this copy to be sent to my niece, who asked to read my books. | wanted her to have her own set so she can also share it with her sister. | hope they
both enjoy it as much as | do. The four stars was due to the condition of the spine. It was a little more worn than the seller suggested.
",positive
29,"This is possibly the worst book ever written.
In fact, it is the worst material ever made. This story is so depressingly bad, it made me weep after wards at how badly | had wasted my time. My back had already been aching
from having to pick the book out of the lowest book shelf, and my hand was shaking from the effort of having to turn around the pages.

And then came the story. I wanted so badly to run away screaming, but the shock had taken the breath out of me, and my feet had fallen asleep from this dreadful story. It had
no virtue, no truth, no reason, no sense, no NOTHING!

I wanted to destroy the memory of it any way possible. But there will be no turning back from this. This is why children cry; why dogs lick themselves; why the rivers run
downhill instead of uphill. Oh, oh, the effort just to write this warning! Please, take heed , DON'T WASTE time and money for this book!!!
",negative
30,"I think the real appeal of this book - why millions of all ages have been drawn to it - is its strong basic theme. It's the story of an abused and under-appreciated person being
recognized for his true inner greatness. It's easy to relate to because this greatness lives within each of us, and this story gives us hope that maybe...someday...our own greatness
will be recognized.

 
",positive
31,"So this is Harry Potter. After hearing about the boy wizard for thirteen years, this feels like reading a biography. | know the name and some of the exploits, but | don't know the
details.

Potter, like so many great protagonists, exhibits unusual potential for his age, combined with a gentle humility and loyalty to his friends. What Potter hasn't shown, so far, is
weakness, or acknowledgement of weakness, (Harry's comparative lack of book smarts, when put alongside Hermione, hardly counts as a character weakness.) Harry is
compelling for his potential, but he's distant in his lack of humanity. There aren't any weaknesses or flaws to be seen, and he seems to excel out of a fixed destiny rather than
any real effort on his part. So far, Harry is intriguing but not inspiring.
",positive
32,"This was actually the second time I'd read Book One. | read it when it first came out. It was still very entertaining, even years later. | was never bored, not once, and even though |
knew what was going to happen, it was so much like visiting with old friends, that didn’t bother me.

My only complaint, and it is minor, is that some of the writing is a bit awkward, Ms. Rowling got much better as the series ran on, but her early efforts were a tad amateurish.

All that aside, Ms. Rowling deserves the accolades she’s received. The POTTER series is a massive accomplishment, highly entertaining, incredibly creative, and a whole lot of fun!
",positive
33,"| am not a big fan. As you see, | bought the book a week ago b/c and only b/c it’s on sale and | would like to get sth to read. The story isa little bit disapointed, Why there are
always evil aunt and uncle??? Why the little victim is always the “super special boy""? It's a okay book for little kids to have fantasy about magic, spells, etc. But the depth ideas
are not as heathly as the surface - a little special boy learnt magic. When you read the book to your kids, please pay attention to the negative ideas regarding the aunt and uncle

issue.
",negative
34,"I honestly, don't get the hubub about the series. I've seen a few of the movies and now I've read the first book and all | can see that's interesting about it is that it sparks
imaginative minds with it's mythology and it's characters are well formed. Maybe I needed to be on board from the beginning so that | could get caught up in the mystery. |
think that was one of the problems with reading this book now. | already knew everything that was going to happen. There was no surprise, no suspense, no mystery left.

But even if | hadn't already seen the movie and known the plot, | think the mystery was a little too simple. | mean, seriously, ""what's in the small brown package?!"" Oh, wait, let
me look on the front cover...""Harry Potter and the SORCERER'S STONE!"" Mystery solved. Didn't even have to open the book.
",positive
35,"A little baby named Harry grows up with his aunt and uncle but when his birthday came he finds out a secret about himself and about his parents.1 The central conflict about
this book is that Harry struggles against Dumbledore about the soceres stone.2 Also the central theme about this book is about Good v.s. Evil because of how Harry was fighting
with Voldamort'’s evil accomplice Quirrel to get the stone and him becoming immortal.3 The book was pretty good but not really that is just my opinion and other people have
other opinions and was suspenseful in other parts.4 | would recommend it to other people if they like suspenseful books.5 I gave this book 3 stars because it didn't really like it
as much as other books that i read but was not bad either.
",positive
