serial,text,sentiment
0,"John wick chapter 4 is the best of the John wick series, and that was very hard to do
after the first three. From start to finish it is a pure adrenaline rush.

The acting is top notch - Keanu reeves it top quality as always - Winston and the Bowery
king are acted amazingly - but the two new character who stole the show were Donnie
Yen as Caine and Mr Nobody - really awesome characters - hope to see mare of them in
the future.

For me - this is the best action film of all time
The choreography - the set pieces - the insanely violent action and the camera work is all
done to perfection. Genuinely brilliant from start to finish, Chad Stahelski is also top

quality and has defiantly come to his own as a director.

I cannot recommend this movie enough - I cannot find a flaw in the 2h 49m run time
(which only feels like 2h). Do yourself a favour and see it in cinema.
",positive
1,"John wick is a power house of action movie franchise, 1-3 were incredible for being an
advancement in cinematography and choreography and incredible stunt work, so when
they announced a fourth one, well, I was anticipating yet another awesome movie.

I was... Half wrong; while giving me the action I wanted they stretched it for 3 hours
with dead unimportant dialogue. 0 emotion.

Every time they built tension in a scene and they stretched it too long, making the
tension tiresome and boring, leaving me waiting for the action scenes to keep the plot
going.

In conclusion, for a fourth film that concludes a series, like the matrix, they should've let
it go at the 3rd film.
",negative
2,"Greetings from Lithuania.

""John Wick: Chapter 4"" (2023) played out the way one could expect from this franchise in
term of plausibility. It is unrealistic in every possible way, yet its made in a way that it
looks real. And this is the biggest strength of Chapter 4. You have to leave all plausibility
at the door before watching it. Because when the movie starts - you are in for one
unforgettable ride.

Not only Chapter 4 is the best from the 4 movies now, it also puts to shame all action
films I've seen in many years. Its incredible movie on purely moviemaking terms. Stunt
team, choreography of fights, chases and kinetic cinematography are all put in a way I
don't think I haven't seen in Hollywood action film yet. I won't spoil anything, but one
particular action set piece near the end left me with my jaw dropped - the way it was
filmed looked kinda like a video game but so amazing at the same time. Creators really
outdone themselves with this film. And action aside (and there is more then enough of
it), | loved how confidently this movie was directed.

Overall, ""John Wick: Chapter 4"" is the best action film I've seen in many years. Reminded
me of ""Raid 2"" but with bigger scale and way bigger budget. This one has to be seen on
big screen - this one incredible action film. And running time almost 3 hours didn't felt
dragay - its superbly paced. One of the very best films of the year so far.
",positive
3,"If you want to watch fighting for 3H, beyond a rational setting, this is the movie to do it.
I was well-produced, but it was almost exclusively fighting and shooting, mayhem for a
long time, no police

There was really not complexity to the story. I would give the story a 3 or 4, really, just
nothing really there. However, because the action was good and I like Kineau Reeves, I
gave it a 7/10.

Tan McShane is always fantastic, and Bill Skarsgard was a good arrogant villain. IP Man,
Donnie Yen, was fine. The fight scenes were so long you could go to the bathroom and
come back and it would still be going on, not missing much but more fighting.

I am not surprised about the high viewer ratings, but I am surprised by the high critics
rating, because simply not a lot of story.
",negative
4,"This movie is amazing on all levels.

Best time spend in the cinema in a long long time.
So many perfect shots. Loved it big time.

If you like action adrenalin movies, you will love this.

I watched all the John Wick movies 3 times, and this will definitely get a rewatch when it
comes out on blueray. This is a must have.

Great Cast, Great acting, Great koreografi, Great kamera angles, Great action, awesome
music. Loved the tempo og the movie.

As an old dude (36), i'm very impressed with all the work Keanu Reeves puts his body
through. I felt beat up in my own body, so many times during this movie. Keanu Reeves,
just like Tom Cruise are some of the few, last real action Heroes <3.
",positive
5,"This fil is unmatched, unparalleled and out-skills any action film ever made in the
history of cinema...it Is in a category of its own. Keanu Reeves is a martial arts badass
menace. John Wick Chapter 4 needs no introduction and there are literally NO WORDS to
describe the masterpiece that I have just witnessed in the cinema. Which is the only way
to see this and do it justice. Part 1 was insane and Chapter 2 was crazy amazing, but I
actually skipped Chapter 3 as Halle was very boring in the first hour. However I knew
with Bill Skarsgaard as the villain, the Swedish actor known for IT, that this should not be
missed as dude can act. Well Lo and behold nothing prepared me for the fight scenes, the
BODY COUNT, the 99 lives of John. Donnie Yen is amazing end of story. Keanu is
everything. And the cinematography and the locations in Europe are breath-taking. ..like I
watched the most beautiful dream. Lord Jesus Christ the Berlin club scene, The fight
sequence on Paris's Arc de Triomphe, speechless. Let's just say that Chad Stahleski gave
us violence with a capital V in its most artistic form. He's the Michaelangelo of cinema.
Deepness, love, fear and fatigue. Remember the insane fight scene on motorbikes in
2017's The Villainess, a messy Korean revenge masterpiece? Well ALL of John Wicks fight
scenes are this but on steroids. Respect and Rest in Peace Lance Reddick.
",negative
6,"Unrealistic ridiculous fight scenes with Kevlar suits have ruined the last two installments
of what could have been a great film series. The elongated fight scenes have been hard
to bear. The staircase sequence was the icing on the cake for over the top hilarious
overdone nonsense. Everyone and anyone sitting in the movie theater was shouting
""c'mon"" on almost every overdone scene. If they had just stuck to a more believable
approach this movie would have been an hour shorter and a lot more bearable to say the
least. I left the movie ready wondering why the director(s) didn't see the flaws in the 3rd
installment with the cartoonist fight scenes and go back to the drawing board. Definitely

reminded me of a Michael Bay film smh.
",negative
7,"After watching this at the cinemas in America with my Mum and Dad here's my spoiler-
free review of John Wick: Chapter 4! As usual, I'll be talking about my thoughts, what I
enjoyed most about this film and my conclusion/rating! Keanu Reeves returns as John
Wick & he's fun to watch, Donnie Yen as Caine is Bad A since watching his fight scenes in
Rogue One as Chirrut Imwe and now this, Ian McShane as Winston is awesome and even
pays tribute to the late great Lance Reddick who sadly passed away from Ischemic heart
disease! My favourite part of watching this movie was the action scenes they're so well
done & very well choreographed! Overall I enjoyed this more than Shazam! Fury of the
Gods that's why I'm giving this an 8/10! There is a post-credit scene at the very end so
don't go anywhere until that's finished! ;-)
",positive
8,"I really don't understand how this movie garnered such a high score. I felt like I
was in a Star Wars sequel with people either running or being shot at for almost 3
hours. Cinematography was fabulous and it did take you to other countries in a
realistic and enjoyable way, however, so if you could sit back and enjoy that, it was
worth it

I believe Keanu Reeves’ immortality outperformed Mel Gibson in the Lethal Weapon
series after being shot about 84 times, thrown down flights of stairs multiple times
and off buildings - and no - the Kevlar suit wasn’t convincing to me.

Whereas blind people can do amazing things, Reeves’ love-hate relationship with a
former friend was not convincing.

In college, I learned that fiction still works if it is at least somewhat believable in its
own setting. This one missed the mark.
",positive
9,"Well thats what john wick movies are. If you find it fun to watch a lot of shooting
and fighting these are your movies. I watched it with my teenage son. Went out of
the theater twice during the movie to get some popcorn and a go to the toilet. Did
it deliberatley during the fight scenes. Didnt feel like T missed anything. Wick
rolling down the stairs reminded me of Neymar. How dumb and boring was that.
Before that, he fell from a Sth floor to the street and got up without problem. Even
my son found that to be too much. The New York Russians appear to be in a
Catholic church. Baba Jaga they keep refering to is not the bogeyman. Its an old
woman, thats what baba means. Something like a witch. But whatever. The good
thing in the movie are some colorful protagonists. I cannot but think these people
giving 10 stars have a vested interest to do so.
",positive
10,"These mnovies have always outdone themselves, but here we are with an actual “epic”.
John Wick: Chapter 4 continuously punches above its weight with bigger and better ...
well, everything. The lighting is better, the staging is more impressive, the fight
choreography is absolutely insane. The excess here is the point, and it's never been more
satisfying. The entire Osaka sequence feels like a marathon; then he's gun-battling in a
speeding Barracuda; and there's even a setpiece built around stairs. The man even fights
a guy in traffic.

TRAFFIC!

1 freely admit that I'm that guy in the theater that squealed when the nunchucks came
out (and they weren't a one-and-done either, he just kept beating people!)

This gave me the ""Top Gun: Maverick"" kind of high; an impeccably-paced three hours of
sustained adrenaline. I don't think such enjoyment of bone-crunching violence is normal,
but I don't care. This movie was an absolute blast!
",negative
11,"Although this latest installment was a tad bit longer than the rest of these movies in the
series it was every bit worth it. With the introduction of a few martial arts Legends the
movie took the series to the next level.

The creative Geniuses behind some of those long single shot fight sequences deserves a
hats off. A couple of them really stand out. One overhead shot of John Wick running from
room to room fighting his enemies And the other with John Wick, Donny Chen and group
fighting in a room filled with art pieces made of bulletproof glass.

The climax was one to behold as well.
On the whole it was a fun John Wick experience with a lot of entertaining fight sequences

that makes it worth your money and time. And if you are a John Wick fan, this was what
you were waiting for, and it's not going to disappoint you
",positive
12,"John Wick: Chapter 4 is one of the most exciting,hyperkinetic and beautiful action movies
ever made. Director Chad Stahelski has make a name because of this franchase. Chad
has crazy,modern ideas. We see how Keanu was saying about 300 words but on the right
spot. Baba Yaga is fighting versus High Table and we see Marquis who is Bill Skarsgard.
Wow!!! He actually was the right actor for this role. I was shocked by Akira she deserved
series or movie. Winston again with crucial role In this movie. This movie is D category or
16+ and this have a lot of blood and fights. This movie is perfect deserve to watch!!!
",positive
