serial,text,sentiment
0,"Iwas skeptical about this flat iron even though it had great reviews because a lot of the reviews here seem to be from people who got a discount to review. I did not get any
discount for this review so it's completely unbiased and have to say | am in LO V E with this flat iron. I'm an African-mixed Latina with type 4a natural hair that is transitioning
from relaxers and I can get my hair salon-quality straight and my hair looks amazing! It moves, it’s shiny, with minimal breakage and is straight all the way to the roots!
",positive
1,"For fairness | will start out by saying that | am not a hair product snob. Before | bought this product, | owned a $20 Conair flat iron | bought at WalMart in 2005. (I didn't use it
much any more and I could hear my hair crying in agony when I did.) At the time | bought this, my every day hair routine was to blow dry with a round brush and hope for the
best. I was often disappointed with my appearance by mid-morning. Then | bought this.

As for the quality of the product: I've used it nearly every day for the last 6 months and it shows no visible wear, It opens and closes smoothly and the plates slide through my
hair easily. | have not used the heat glove or the argan oil so | will not comment.
",negative
2,"I really wish I'd spent the money on a better product rather than trying to save a few bucks by buying this. The cord of my kipozi straightener was damaged recently so | needed
a new one, but this...even on the same temp setting as my old straightener (as best | can tell, anyway, given that it's a fiddly little dial with literally no indicators of temp aside
from the top and bottom ends of the range - hope you like guessing what temp you've just set it at!}, it cannot stay hot between passes to save its life. With my old straightener,
| only needed to pause for a second or two between passes to let it regain any heat lost on the previous go, and even after several passes in quick succession over adjacent
segments | still needed to be careful about touching my hair too quickly after the iron touched it. This thing needs a minimum of 5-10 seconds between passes. | used to set my
kipozi to 380 degrees; I've got this one tured to about 400-41 0ish I think? But at best it leaves my hair feeling warmish, and slightly less unruly than before, but it's definitely
not coming out anything like straight unless | spend half an hour on it, with 10 second pauses in between every...single...stroke... And I'm sorry but ain't nobody got time for
that. I'm going to have to eat the sunk cost on this and go buy something actually quality.
",positive
3,"The temperature control is a small dial on the inside of the iron. It is small and hard to read with only 3 temps listed so you are guessing as to the exact temp it is set at. There's
no digital display. | also didn't think it was any smoother than my 5 year old, less expensive current flat iron.
",negative
4,"I've been ironing my hair for so long | actually started doing it before flat irons were invented ! This iron heats up so fast and works so much better than the name brand one |
just tossed out. Buy it you will not be sorry!
",positive
5,"Just not what | expected or wanted. I've been using a very high end flat iron, and the first time this one pinched my hand...well that was it for me. It gets hot fast and all that but
watch your grip it will pinch the s#% out of ya.
",negative
6,"Ihave used this almost daily for 4 years and it still holds up great. You would think that using a hair iron daily would eventually darnage my hair, but my hair is still very healthy.
From day one to today, this iron still provides shine and removes frizziness. | have always bought salon grade hair straighteners because | have curly hair. | bought this because
the one I had prior finally died and | was on a tight budget. This product has held up in comparison.
",negative
7,"| found this to large and long for my small hands. It appears to be a nice product. But since | had to return before | could use, | don't know how well it would perform.
",negative
8,"General comment: | had my previous flat iron for almost 8 years. As much as | paid for it, | expected it to last longer, but what ended up malfunctioning on it was the on-off
switch. It started going on the fritz about a year ago. The work-around was for me to keep it in the on position all the time, and simply plug it into the wall outlet when | wanted
to use it, and unplug it when I was done. This worked most of the time for awhile - although | often had to gently jiggle the switch back & forth (sometimes for up to 30
seconds) to get it to connect. Since the on-off switch was already faulty, even this eventually failed, and nothing | did could get it ""on."" A friend who's an electrical engineer
examined it and told me most on-off switches are poorly made and will typically fail after being used enough times. He said the best solution in engineering scenarios is to wire
around the on-off mechanism, bypassing it altogether. Short of this electrical feat, he confirmed leaving the switch turned to the on position and plugging and unplugging the
electrical cord from the outlet will minimize these switch failures. That's what I've been doing and will continue to do with this HSI Pro.
",positive
9,"| bought this for an upcoming international trip, so | got this one in the dual voltage option. It doesn't hold a candle to my Kristen Ess flat iron that | use a few times a week, but
it does a good enough job for my purpose (international trips). | don't think it heats to 450 though. Doing a side by side | got the same results at this one’s 450 as I did on my
Kristen Ess at 365 (my go to setting ). It also pulls my hair just a enough to notice that it's doing that. I had to run it through my stubborn, wiry grays at my roots more times
than | am used to doing. I'd say it's good for the price. The build feels nice, although | prefer longer plates. But overall it’s fine.
",positive
10,"Iwas in between relaxers when a stylist trimmed and straightened my hair as if she relaxed it. | just had to know what she did. She told me she flat ironed my hair. Wonderful! |
went to Amazon and searched. I saw quite a few good reviews about the HSI ceramic flat iron and made the purchase. | was hoping | would receive the flat iron before my next
wash. Sure enough! I received the iron and it was securely packaged. | was pleasantly surprised at how quick the flat iron heated up...love that! Using the flat iron on a small
section of my hair was okay, but not as straight as I would get with the curling iron. | raised the heat, waited for about 5 seconds and went over the same section. Still not right.
raised it midway, waited about 5 seconds, and this time | got the effect | was looking for. That section of my hair was not only straight, but it also had a silky shine. | like the fact
that when | increased the temp, | didn't have to wait a time for the iron to reach the higher temp. This is my first flat iron purchase and | have not tried anything else to compare,

but | am quite pleased with this purchase, especially with the way this baby heats up!
",positive
11,"| only write reviews when a product is really, really bad or really, really awesome! This straightener is amazing for its low price. | almost didn't purchase after reading some of the
reviews because | have really long and thick hair. It takes me forever to dry and straighten my hair. | always purchase top of the line blow dryers and straighteners. In the recent
years I've used the Chi straightener and the L’Ange and both were disappointing for the money and how long they lasted. If straighteners only last a year | figured I'd buy a less
expensive one this time and replace it and not be out much money.
",positive
12,"My 6mo old flatiron died, so I went back to the HSI that has served me well in the past. | gave it a 4. on temp control, because it is inside and harder to see. HSI has always had
good heat for my thick curly hair. Hope this one lasts as long as my others have!
",positive
13,"Let me start by saying that | have only left a review for two things | have purchased on Amazon. | am a huge advocate for researching a product and I rely a lot on customer

reviews, So here goes:

I have always used a professional salon flat iron. When my GHD (professional model 200+ dollar) flat iron overheated and burned a giant chunk of my hair off (it even burned
out my new haircolor) and then made a terrifying popping and burning noise, | immediately tossed it in the trash. | was distressed because I did not have the money to spend on
another $200+ flat iron, so | was doing without while I saved to buy another ""professional"" flat iron. and THEN...... my friend, who is a stylist, sent me the link to this product on
Amazon. | was skeptical, but hey.... Amiazon has a superb return policy and what harm could it do right? and for $39.0077?? It was certainly worth trying.

 
",positive
14,"Wow! With all these glowing reviews, | think | expected a miracle product! | think it's maybe OK at best. I did like the way my hair looked the first couple times | used it. Then |
realized my hair was splitting and started looking burned, My hair is thick and naturally curly and was very healthy. | wish it showed the temp, instead of the little dial that is
very hard to see and in a bad spot. | returned it.
",positive
15,"This flat iron is amazing! It took me from post-blow out (first picture) to smooth and sleek (second picture}. | don't feel that it damaged my hair at all- it more so kept the
moisture of my heat protectant and soaked it in. My hair is 3c in texture for reference. It even helped my split ends lay down without an issue!

| only gave it 4 stars for the fact that it doesn’t have a temperature display, only the dial. In other words, it doesn’t show you numbers of what temperature you have it set on. |
dislike that because | like to know just how hot | have it, but that’s okay. All buttons and switches are tucked away inside so | don’t run the risk of accidentally bumping
something and turning it off. Overall, | absolutely love it!
",positive
16,"I've had this for three months. | like it but there are a couple of things I'm not a fan of. It doesn’t automatically shut off. If you forget to leave it on, then it’s on all day. The heat
setting is a dial. There is no digital display or visual of what setting it’s truly on. | will say that it does not snag my hair, which is a problem I've had with previous brands, Hope
this helps!!
",positive
17,"I love this! 've had it for almost 20 months now. It's a very good alternative to high end flat irons. I've used Croc, CHI, and plenty of crappy Walmart flat irons. This one is not the
BEST but it is very good. My hair is thin, frizzy, and | have a lot of it. It heats up very fast and evenly, which is great. | love the adjustable temps. | use almost the highest one. It
takes more than a few passes to get it perfectly pin straight (I also use a straightening comb, the kind that is shaped like a flat iron) but if you don't care about that, then this is
perfect. I'd say it takes one pass to just smooth down an area, two passes to get it straight, and three passes to get it PIN straight. It’s also good for touch-ups, bangs, and adding
waves/curls by flicking your wrist. It has never snagged my hair and ripped them out.
",positive
18,"I've had this since 2016 and use it two to three times a week. It still works great, but if it dies tomorrow, | will order the same one again.
Paying more for one of those name brands the beauty shops sell is a waste of money.
I have curly/wavy hair that is very fine, so | use it on the mid heat setting and get fantastic results every time.
",positive
19,"The product is great, but if you are forgetful like me, it doesn’t turn off automatically. I've left mine on for 8-10 hours before
",positive
20,"I had my old Corioliss flat iron for over 12 years. Someone had used it on my hair at a mall- people still went to malls in 2008- and told me it cost $150, so | found it on eBay for
$40. I was super proud of myself because finding things cheaper online was barely a thing back then. And it was brilliant until it met its match with European plug sockets. |
think it would've lived forever otherwise. RIP :(

Interestingly, it actually had the Exact same body as this HSI one. The only physical differences are the old on-light was red and this one’s green and the ceramic plates were
gold instead of black, Even the temperature dial is the same. That's why | picked this one- | thought the quality would be the exact same or probably better!
",positive
21,"Well it is not a one pass flat iron like a lot of people say. | have long coarse hair. | also don't think it gets as hot as it advertised. However after several passes through my hair |
can get it straight to the point it's not a frizzy mess. | have to use a straightening balm to help with that. Overall it's better than some of the other flat irons | have but it’s not
the best either.
",negative
22,"When I received the first one, | used it a couple of times, both with the oil and without. | HATED it. | felt like it was pulling, or catching, my hair. | could not understand the
reviews, Amazon contacted me and | told them | was not happy with it and what it was doing. They said it sounded like | might have received a defective product and they were
willing to ship out a replacement. | accepted and was looking forward to getting it. The nice thing is, the one they replaced it with had the digital heat display and a different
plug. | travel often and hated the big box plug that was on the original one. | was excited to try the new one. It heated up quickly and the color display helped to indicate that it
was ready. | used it. No hair snag! The hair went through nice and smooth. | have used this straightener many times since. | have tried it with the oil and without. As | stated in
my review about the oil, | didn't see a difference. As for the straightener itself, it's OK. | had a 2"" inexpensive one from Wal-Mart prior to this one. | really don't see what everyone
loves about this one. It works, | hate the smaller size, but I knew that when | purchased it. My hair is extremely thick, long, and course. Even taking the smaller size into account
and doing much smaller chunks of hair, | feel like | have to pass through the hair more than once truly straighten it. | have tried doing the soft curls with it, | can do it with the
shorter pieces in the front but the sides and back, even taking small clumps, it just doesn't seem to really want to curl it.

Bottom line, do | love it? No. Do | hate it? No Because of the compact size, it travels nicely. | will probably purchase a different one with a larger plate to use at home. | don't see
myself purchasing this brand again.
",positive
23,"This iron is not as magical as | expected after all of the glowing reviews, but it’s decent. | was pleased to see the insulated travel pouch it comes with (I do think the glove is
overkill, I've never met a flat iron that didn't go up to 400F so it's nothing special in that regard), and the argan oil is a nice touch although I'm not much for using oil in my hair.

Build quality is a bit suspect. The temperature control is primitive at best and unless you have it cranked all the way up, it's a crapshoot as far as guessing the actual degree of
heat. It does heat up quickly, though. Indicator light on the bottom is kind of weird, but mostly irrelevant. Long cord is a plus, particularly for traveling purposes when it's very
possible to be faced with an unsavory distance between outlet and mirror. Dual voltage also a huge plus, | wouldn't have bought this if it weren't.
",positive
24,"lam African American and | have been trying to transition from perms to natural hair, but straight natural hair. | used to use a Remington hair straightener and it worked okay
for the most part but for some reason my hair never shined the way | wanted it. | was looking at getting a CHI but then | came across HSI and decided to research a bit more
before I made the purchase. | am super glad | decided to take a chance on this straightener because | have never, ever had straight hair without having to use a perm and to be
honest my hair never tock to perms that well either. My hair is about 8 inches and kind of coarse when not permed and my new growth is especially hard to straighten because
the hair is super coarse and curly. | used this for the first time tonight and | had straight hair on one pass. | will tell you what | used on my hair to get a perm look without the

chemical!
",positive
25,"| ordered this flat iron because it provides the heat | need to get my silk press right! I'm glad | purchased it, well worth the money and does exactly what I need it to do. Makes
me look like | went to the salon and got my hair done! | love it!
",positive
26,"I received mine two days ago. | LOVE the oil and the flat iron! It heats up quickly and works in an incredible way! | have my own way of straightening my hair. | use a J&D Heat
Straight Brush and the flat iron at the same time. | would clamp my hair and have the flat iron above it... then I go downward. The brush will keep your hair straight and
separated for the flat iron to heat it nicely.

The location of the temp. knob and on/off switch is not something people like but | think it's good. Because our hand is constantly slipping on the outside, we might switch it off
or tun up/down the heat on accident. | wished it came with two gloves because | couldn't decide which hand | should use it for. The straightener is hot and so is the hair. | used
it on my straighter hand since the iron will ALWAYS be hot while your hair will cool down quick. The iron heats very quick. Mine reached max temp. in under a minute. The cord is
workable. The argan oil is great. The pouch it comes with is awesome and thick.
",positive
27,"I wanted to like this straightener and | don’t know if | got a defective one but it did NOT heat up fast at all. When it did finally get warm it wasn’t hot enough to even straighten
that well. My hair is 3c/4a and it doesn’t take much to straighten it. So with that said this not working on MY hair is saying something. | have tried to straighten my hair 2x since
receiving it. It just does not work as well as my old straightener.
",positive
28,"| bought my first Straightener 5 years ago and it was a Conair. | had never used a straightener before and at the time, it seerns to do well. But after years of using it, it felt like it
would straighten my hair but hours later my hair would not be that straight anymore. And after | straightened it, my hair seems oily or not soft. My friend has the in-styler and
my hair felt better with that but | did not want to pay that much for a straightener. | found this on amazon and saw many videos and read many reviews. My hair is damaged
from heat so | had stopped straightening it for a while. My friend recommended using Argon oil. | have been using Argon oil for months. | use Organix. So | decided on buying
this straightener because everyone said it was amazing and better then chi and the in-styler. When it came, it did come with a heat glove, the straightener in the red sleeve, and
little Argon Oil packet. | thought when it said “travel size"" that you could use it maybe about 5 times and it had a lid, But it is a packet you cut or tear. The oil does make my hair
really soft! | plugged in the HSI and it took about 5 minutes to heat. | was so excited to use it because every time i straighten my hair, it never stays or it does not even straighten
all the way. After straightening, | noticed that my hair is softer feeling then my old straightener. That is a plus. But it still does not straighten the ends of my hair. It curves. |am
not sure if that is because my hair is semi-dead or not. It still takes a few tries to straighten one part of my hair. | was hoping like one stroke through. | guess you can curl your
hair with this straightener too but Have not figured that out yet. | do recommend this straightener but | feel like it is like every other straightener out there. Nothing special. |
have only used it 3 times. | will update more if something comes up. My hair is a medium length curly, wavy, frizzy hair if you are wondering. :)
",positive
29,"| really really like it, but I can't say love for a couple reasons, which may be enough to discourage other buyers.

What | love -
Quick Heat - This is a powerful little straightener that heats up ina matter of a minute or two, and | LOVE the indicator light that lets you know it’s ready to go! Right on the flip

side of that, | think it kinda lies, and says it's ready before it really is. Sometimes I notice that the light is green far before the strongest heat is being put out.
",positive
30,"I have a short bob haircut and it is hard to find tools that work well with that length. This is great to straighten and for waves. Can't beat it for the price. | will be interested to
see how long it lasts, as my last straightener was a more expensive brand and lasted for years.
",positive
31,"The heat controlling plates on the outside of the straightener. It still gets hot, but not hot enough to burn my hand if | accidentally grab too high on the straightener or touch
my hand on the wrong side trying to pick it up. I've only been using it for about a month, but | feel like it’s safe to say that | see many less bums in my future, if any, that |
experienced with my old straightener.

Other reviewers are right, it doesn’t pull my hair, or very little. I never noticed how much my old straightener did it, and now I'm horrified at how long | dealt with that thing. |
don’t know how on earth this straightener pulls it off, but yes, it doesn’t pull an my hair hardly at all.
",positive
32,"Loved the packaging the silk bag to put away the flat iron , the safety velcro to wrap the cord in, and the heat glove to keep you hand and fingers from betting burned. | like
how it straightens my hair and the controllable heat setting. My hair was straight for the most part. But still a little Puffy. | have thick , curl hair and when straighten it looks nice
and I can bump some curls. The only thing is the flat iron is not designed for thick hair like myself . | Give it a 6/10.
",positive
33,"These are ok. Like a reviewer said before, you have to place it on the max temp for the flat iron to get hot. Keep in mind, the max temp will not be 400, maybe 325-350
",positive
34,"Omg, when my hair dresser said a rep said to try HSI, she thought it could not be as good as the top brands. He gave her one to try and she loved it. That was ten years ago and
her daughters still use it today. | bought one. | tried it and her rep was right. It does better than my more four times more expensive brand. | love it, and recommend it.
",positive
